"GEOID","total","male","female","male_percentage","female_percentage","poverty_percentage"
"42003427000",3333,223,328,0.0669066906690669,0.0984098409840984,0.165316531653165
"42003261400",1995,368,261,0.184461152882206,0.130827067669173,0.315288220551378
"42003260200",2209,214,145,0.0968764146672703,0.0656405613399728,0.162516976007243
"42003480300",3617,84,105,0.0232236660215648,0.029029582526956,0.0522532485485209
"42003478100",4383,520,528,0.118640200775724,0.120465434633812,0.239105635409537
"42003141400",5455,153,262,0.0280476626947754,0.0480293308890926,0.076076993583868
"42003110200",4271,102,199,0.0238819948489815,0.0465933036759541,0.0704752985249356
"42003101800",2592,26,55,0.0100308641975309,0.0212191358024691,0.03125
"42003090300",1445,54,90,0.0373702422145329,0.0622837370242214,0.0996539792387543
"42003080600",1776,21,106,0.0118243243243243,0.0596846846846847,0.071509009009009
"42003070900",4252,557,528,0.130997177798683,0.1241768579492,0.255174035747883
"42003060500",975,92,49,0.0943589743589744,0.0502564102564103,0.144615384615385
"42003051000",2099,242,175,0.115292996665079,0.0833730347784659,0.198666031443545
"42003140300",3331,219,170,0.0657460222155509,0.0510357250075053,0.116781747223056
"42003120300",1702,196,433,0.115158636897767,0.254406580493537,0.369565217391304
"42003110600",2393,58,125,0.024237358963644,0.0522356874216465,0.0764730463852904
"42003424000",3146,197,362,0.0626191989828353,0.115066751430388,0.177685950413223
"42003422000",5264,25,43,0.00474924012158055,0.00816869300911854,0.0129179331306991
"42003483800",2885,259,211,0.0897746967071057,0.0731369150779896,0.162911611785095
"42003460002",3739,189,210,0.0505482749398235,0.0561647499331372,0.106713024872961
"42003488500",2645,75,40,0.0283553875236295,0.0151228733459357,0.0434782608695652
"42003523100",3696,209,163,0.056547619047619,0.0441017316017316,0.100649350649351
"42003473300",5867,80,80,0.0136355888869951,0.0136355888869951,0.0272711777739901
"42003481000",3347,318,308,0.0950104571257843,0.092022706901703,0.187033164027487
"42003484300",3587,28,396,0.00780596598829105,0.110398661834402,0.118204627822693
"42003190300",1988,38,48,0.0191146881287726,0.0241448692152917,0.0432595573440644
"42003191400",2433,153,237,0.06288532675709,0.0974106041923551,0.160295930949445
"42003191500",1931,129,95,0.0668047643707923,0.0491973070947695,0.116002071465562
"42003281400",2559,299,515,0.11684251660805,0.201250488472059,0.318093005080109
"42003290100",1789,110,157,0.0614868641699273,0.0877585243152599,0.149245388485187
"42003320700",1765,42,69,0.0237960339943343,0.0390934844192635,0.0628895184135977
"42003472100",2373,98,174,0.0412979351032448,0.0733249051833123,0.114622840286557
"42003562600",2928,428,250,0.146174863387978,0.0853825136612022,0.23155737704918
"42003562000",2535,370,588,0.145956607495069,0.231952662721893,0.377909270216963
"42003562300",3077,368,416,0.119597010074748,0.135196620084498,0.254793630159246
"42003980900",41,0,0,0,0,0
"42003980400",0,0,0,NA,NA,NA
"42003562800",1583,105,90,0.0663297536323437,0.0568540745420088,0.123183828174352
"42003130600",3830,650,1377,0.169712793733681,0.359530026109661,0.529242819843342
"42003562700",2002,165,214,0.0824175824175824,0.106893106893107,0.189310689310689
"42003141200",4134,141,162,0.0341074020319303,0.0391872278664731,0.0732946298984035
"42003565200",3110,245,193,0.0787781350482315,0.0620578778135048,0.140836012861736
"42003563000",3179,210,254,0.0660585089650834,0.0798993394149104,0.145957848379994
"42003980500",14,0,0,0,0,0
"42003980700",98,0,5,0,0.0510204081632653,0.0510204081632653
"42003202300",3740,121,67,0.0323529411764706,0.0179144385026738,0.0502673796791444
"42003070600",2219,126,181,0.056782334384858,0.0815682739972961,0.138350608382154
"42003428100",1108,4,14,0.0036101083032491,0.0126353790613718,0.0162454873646209
"42003562500",2714,218,378,0.0803242446573323,0.13927781871776,0.219602063375092
"42003130800",2128,246,472,0.115601503759398,0.221804511278195,0.337406015037594
"42003241300",3599,220,175,0.0611280911364268,0.0486246179494304,0.109752709085857
"42003271600",4442,505,782,0.113687528140477,0.176046825754165,0.289734353894642
"42003980800",0,0,0,NA,NA,NA
"42003484500",5246,318,402,0.0606176134197484,0.0766298131910027,0.137247426610751
"42003180300",1852,216,156,0.116630669546436,0.0842332613390929,0.200863930885529
"42003191700",3582,171,146,0.0477386934673367,0.0407593523171413,0.088498045784478
"42003320600",2202,100,62,0.0454132606721163,0.0281562216167121,0.0735694822888283
"42003050900",1539,275,552,0.178687459389214,0.358674463937622,0.537361923326836
"42003101400",3187,58,114,0.0181989331659868,0.0357703169124569,0.0539692500784437
"42003464300",3334,193,333,0.0578884223155369,0.099880023995201,0.157768446310738
"42003462100",2583,350,522,0.13550135501355,0.202090592334495,0.337591947348045
"42003140800",4767,211,351,0.0442626389762954,0.0736312146003776,0.117893853576673
"42003515300",1520,306,158,0.201315789473684,0.103947368421053,0.305263157894737
"42003423000",2866,21,26,0.00732728541521284,0.00907187718073971,0.0163991625959525
"42003030500",2989,458,553,0.153228504516561,0.185011709601874,0.338240214118434
"42003270800",2416,55,81,0.0227649006622517,0.0335264900662252,0.0562913907284768
"42003561400",3585,251,325,0.0700139470013947,0.0906555090655509,0.160669456066946
"42003191600",3750,116,177,0.0309333333333333,0.0472,0.0781333333333333
