"GEOID","total","no_vehicle_available","one_vehicle_available","no_vehicle_percentage","one_vehicle_percentage","total_percentage"
"42003483800",2885,359,762,0.124436741767764,0.264124783362218,0.388561525129983
"42003460002",3739,63,579,0.0168494249799412,0.154854239101364,0.171703664081305
"42003488500",2645,100,540,0.0378071833648393,0.204158790170132,0.241965973534972
"42003523100",3696,141,745,0.0381493506493506,0.201569264069264,0.239718614718615
"42003473300",5867,204,791,0.0347707516618374,0.134821885120164,0.169592636782001
"42003481000",3347,493,523,0.147296086047206,0.15625933671945,0.303555422766657
"42003484300",3587,441,421,0.122943964315584,0.117368274323948,0.240312238639532
"42003190300",1988,64,700,0.0321931589537223,0.352112676056338,0.38430583501006
"42003191400",2433,278,785,0.114262227702425,0.322646937936704,0.436909165639129
"42003191500",1931,97,406,0.0502330398757121,0.210253754531331,0.260486794407043
"42003281400",2559,185,511,0.072293864790934,0.199687377881985,0.271981242672919
"42003290100",1789,260,253,0.14533258803801,0.141419787590833,0.286752375628843
"42003320700",1765,67,234,0.0379603399433428,0.13257790368272,0.170538243626062
"42003472100",2373,83,669,0.0349768225874421,0.281921618204804,0.316898440792246
"42003562600",2928,338,744,0.115437158469945,0.254098360655738,0.369535519125683
"42003562000",2535,726,891,0.286390532544379,0.351479289940828,0.637869822485207
"42003562300",3077,392,633,0.127396815079623,0.205719857003575,0.333116672083198
"42003980900",41,0,0,0,0,0
"42003980400",0,0,0,NA,NA,NA
"42003562800",1583,114,361,0.0720151610865445,0.228048010107391,0.300063171193936
"42003130600",3830,468,315,0.122193211488251,0.0822454308093995,0.20443864229765
"42003562700",2002,315,787,0.157342657342657,0.393106893106893,0.55044955044955
"42003141200",4134,108,668,0.0261248185776488,0.161586840832124,0.187711659409773
"42003565200",3110,549,597,0.176527331189711,0.191961414790997,0.368488745980707
"42003563000",3179,134,463,0.0421516200062913,0.145643284051589,0.18779490405788
"42003980500",14,0,9,0,0.642857142857143,0.642857142857143
"42003980700",98,14,56,0.142857142857143,0.571428571428571,0.714285714285714
"42003202300",3740,88,851,0.0235294117647059,0.227540106951872,0.251069518716578
"42003070600",2219,203,625,0.0914826498422713,0.281658404686796,0.373141054529067
"42003428100",1108,14,270,0.0126353790613718,0.243682310469314,0.256317689530686
